Questions,Blooms Taxonomy
What is a weighted graph?,remember
What is a path in a graph?,remember
What is a cycle in a graph?,remember
What is a spanning tree of a graph?,remember
What is a minimum spanning tree?,remember
What is Dijkstra's algorithm?,remember
What is the time complexity of Dijkstra's algorithm?,remember
What is the Bellman-Ford algorithm?,remember
What is the time complexity of the Bellman-Ford algorithm?,remember
What is the Floyd-Warshall algorithm?,remember
What is the time complexity of the Floyd-Warshall algorithm?,remember
What is dynamic programming?,understand
What is memoization?,remember
What is the Knapsack problem?,understand
What is the Longest Common Subsequence problem?,understand
What is the Longest Increasing Subsequence problem?,understand
What is the Traveling Salesman problem?,understand
What is the Subset Sum problem?,understand
What is the Difference between Greedy and Dynamic Programming algorithms?,understand
What is the Difference between Depth-First Search and Breadth-First Search algorithms?,understand
What is a computer network?,remember
What is a protocol?,remember
What is the purpose of a network protocol?,understand
What is the OSI model?,remember
What is the TCP/IP model?,remember
What is the difference between the OSI model and the TCP/IP model?,understand
What is a network interface card (NIC)?,remember
What is an IP address?,remember
What is a subnet mask?,remember
How would you use a firewall to secure a network?,apply
How would you configure a router to allow traffic from a specific IP address range?,apply
How would you troubleshoot a network connectivity issue?,apply
analyze a network topology to identify potential bottlenecks or points of failure.,analyze
evaluate different network protocols and determine their advantages and disadvantages.,analyze
evaluate different network security solutions and determine which would be the most effective for a particular organization.,analyze
evaluate the performance of a network by analyzing network traffic and identifying areas for improvement.,evaluate
evaluate the security of a network by performing vulnerability assessments and penetration testing.,evaluate
evaluate the scalability of a network and identify areas for expansion or optimization.,evaluate
Design a network topology that meets the requirements of a given organization.,create
"Develop a network security plan that includes firewalls, intrusion detection systems, and encryption.",create
"Develop a disaster recovery plan for a network, including backup and restoration procedures.",create
Design a network topology that meets the requirements of a given organization.,analyze
"Develop a network security plan that includes firewalls, intrusion detection systems, and encryption.",analyze
"Develop a disaster recovery plan for a network, including backup and restoration procedures.",analyze
How would you configure a network to use a wide area network (WAN) to connect remote locations?,apply
How would you configure a switch to use virtual LANs (VLANs) to isolate network traffic?,apply
How would you troubleshoot a network issue that is causing intermittent DNS resolution failures?,apply
Design a network architecture that supports high availability and failover.,create
"Develop a network security plan that includes intrusion detection, penetration testing, and incident response procedures.",create
create a network upgrade plan that minimizes downtime and impact on users.,create
evaluate the effectiveness of different load balancing solutions for a given application.,evaluate
evaluate the impact of network latency on real-time applications such as video conferencing.,evaluate
evaluate different network virtualization technologies and determine which would be most effective for a given situation.,evaluate
How would you configure a router to use Quality of Service (QoS) to prioritize traffic?,apply
How would you configure a network to use a content delivery network (CDN) to improve performance?,apply
How would you troubleshoot a network issue that is causing dropped packets?,apply
analyze network traffic data to identify abnormal traffic patterns that may indicate a security threat.,analyze
analyze network topology diagrams to identify single points of failure.,analyze
analyze network performance data to identify patterns that may indicate a capacity issue.,analyze
Design a network architecture that provides secure remote access for remote workers.,create
Develop a network segmentation plan that isolates sensitive data and applications from the rest of the network.,create
create a disaster recovery plan for a network that includes regular testing and updates.,create
evaluate the impact of network congestion on application performance.,evaluate
evaluate the security risks associated with remote access to a network.,evaluate
evaluate different network monitoring tools and determine which would be most effective for a given situation.,evaluate
analyze network traffic patterns to identify abnormal behavior or security threats.,analyze
analyze network performance data to identify the root cause of a performance issue.,analyze
analyze a network diagram to identify potential scalability issues.,analyze
How would you configure a firewall to allow traffic to a specific port on a server?,apply
How would you configure a load balancer to distribute traffic evenly across a group of servers?,apply
How would you troubleshoot a network issue that is causing intermittent connectivity problems?,apply
Design a network architecture that includes redundancy and failover mechanisms.,create
"Develop a network disaster recovery plan that includes backup, restoration, and failover procedures.",create
create a network monitoring solution that can detect and alert on potential security threats.,create
analyze a network diagram to identify potential security vulnerabilities.,analyze
analyze network traffic logs to identify suspicious activity.,analyze
analyze network performance data to identify bottlenecks and areas for improvement.,analyze
evaluate the effectiveness of different network security solutions in preventing attacks.,evaluate
evaluate the impact of network downtime on an organization's operations.,evaluate
"evaluate the trade-offs between different network design options, such as cost vs. performance.",evaluate
What is the difference between supervised and unsupervised learning?,remember
What is a decision tree in machine learning?,remember
What is the goal of dimensionality reduction in machine learning?,remember
How does a neural network learn from data?,understand
How do you choose the appropriate machine learning algorithm for a given problem?,understand
What is overfitting and how can it be prevented in machine learning?,understand
How would you train a support vector machine (SVM) to classify text documents?,apply
How would you use a random forest classifier to predict customer churn?,apply
How would you use clustering to segment customers based on purchasing behavior?,apply
analyze the performance of different machine learning models on a given dataset.,analyze
analyze the feature importance in a random forest model to identify the most influential variables.,analyze
analyze the impact of different hyperparameters on the performance of a machine learning model.,analyze
evaluate the effectiveness of a machine learning model in predicting outcomes.,evaluate
evaluate the fairness of a machine learning model by analyzing its impact on different demographic groups.,evaluate
evaluate the ethical implications of using machine learning to make decisions.,evaluate
"Design a machine learning pipeline that includes data preprocessing, feature engineering, and model training.",create
Develop a machine learning model that can detect fraudulent transactions.,create
Develop a machine learning model that can predict customer churn.,create
How would you use artificial neural networks to classify images?,apply
How would you use convolutional neural networks to recognize objects in images?,apply
How would you use recurrent neural networks to generate text?,apply
analyze the impact of different hyperparameters on the performance of a neural network.,analyze
analyze the interpretability of different neural network architectures.,analyze
"analyze the performance of a deep learning model using metrics such as precision, recall, and F1 score.",analyze
evaluate the effectiveness of a deep learning model in solving a particular problem.,evaluate
evaluate the fairness of a deep learning model by analyzing its impact on different demographic groups.,evaluate
evaluate the ethical implications of using deep learning to make decisions.,evaluate
Design a convolutional neural network that can recognize hand-written digits.,create
Develop a recurrent neural network that can generate music.,create
Develop a deep learning model that can classify different types of cancer.,create
How would you use natural language processing to classify text?,apply
How would you use sentiment analysis to analyze social media data?,apply
How would you use topic modeling to identify patterns in text data?,apply
analyze the impact of different text preprocessing methods on the performance of a natural language processing model.,analyze
analyze the interpretability of different topic modeling algorithms.,analyze
analyze the performance of a text classification model using metrics such as accuracy and F1 score.,analyze
"Design a natural language processing pipeline that includes text preprocessing, feature extraction, and model training.",create
Develop a sentiment analysis model that can classify the sentiment of movie reviews.,create
Develop a text classification model that can identify fake news.,create
"Given is an array after the first partition of quicksort: 3, 0, 2, 4, 10, 8, 7, 6, 9. Which of the element could be the pivot?",remember
How many steps are required to solve Tower of Hanoi problem with N discs?,remember
How many comparisons are required to find element 45 using Binary Search? 27 34 36 37 38 40 42 45 60,remember
"Given an array A[-3:4, 6:10], Find the address of A[0][7] if array elements are organized in Row-Major order. Base Address is 2100. Each element takes 2 bytes for storage.",remember
"Consider the following list of 10 numbers: 35, 65, 15, 45, 95, 75, 85, 55, 25,5. Perform the Bubble Sort on the list and show the data after each pass. What is the Number of Exchanges and comparisons?",apply
Convert the given arithmetic expression into postfix form using stack: A+B*(C/D)-(E/F)+G,evaluate
What are the different types of Queues? Explain each with suitable example.,understand
"Sort the following numbers using Quick Sort algorithm: 4,9,6,12,34,1,90,45,23. Show the Steps.",apply
Define stable sorting algorithm. Is selection sort stable? Justify your answer with appropriate example,evaluate
What can be the condition to check for overflow and underflow in circular queue? Explain with example.,understand
Consider the given singly linked list in which nodes contain INFO and LINK fields.Write steps to insert the node with INFO 28 such that it preserves the ordering of the terms in increasing order of their INFO fields.,create
The Given function tofront() takes a singly-linked list as input argument. Add the Conditions and Statements to move the last element to the front of the list and returns the modified list.,apply
Write an algorithm to insert a node at beginning in circular linked list.,create
What can be the maximum number of nodes in binary tree with height 4?,remember
What is the chromatic number of a complete graph with n vertices?,remember
State True or False: Inorder Traversal of a Binary search tree gives data in descending order.,remember
"In a complete Binary Tree, every internal node has exactly 2 children. What are the number of leaves in such a tree with N internal nodes? Justify with any example.",evaluate
What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a single node is 0.,analyze
"A hash table of length 9 uses hash function h(k)= k mod 9, and linear probing for collision resolution. Insert the following values in given order into the hash table. 9,12,15,33,80,53,50,95",apply
"Construct Binary search tree from the following numbers: 23, 56, 45, 32, 89,12, 9, 36, 90, 22, 8, 10, 87. Delete 56 and 12. Show BST after each deletion.",apply
Find the minimum spanning tree of a given Graph using Kruskal’s algorithm.,remember
Find the total weight of the minimum spanning tree using Prim’s algorithm. Start vertex is 1.,remember
"Perform ascending order sorting for following data using Max Heap Tree. 2,7,26,25,19,17,1,90",apply
The Inorder and Postorder traversals of a binary tree are given below:Inorder: G D H B E I A F J C Postorder: G H D I E B J F C A Construct a binary tree and write down the preorder traversal of the binary tree.,create
Given the adjacency matrix of a directed graph. Find the DFS sequence. (Start vertex is 1),remember
Construct an AVL Tree from given instructions. Show balance factors with each step.,apply
"What is the complexity of running Quick sort on an array of size n, which is already sorted?",remember
"State True or False: In a linked list representation of the simple queue, insertion should be performed at end and deletion should be performed from beginning.",remember
Why is it possible to access elements of an array in random order?,understand
"Given an array A[-3:3, 5:10], Find the address of A[0][8] if array elements are organized in Column-Major order. Base Address is 200. Each element takes 2 bytes for storage.",remember
"Convert the following expression into postfix form using stack: A*(B+C)*D-E. evaluate the postfix form for A=4, B=8, C= (-2),D=3,E=9.",evaluate
"Given code deletes the node which doesn't follow the ascending order sequence from this linked list : 3>>>4>>>5>>>6>>>7>>>9>>>8>>>10. Write the correct statements for a1,a2,a3,a4.",create
Explain the recursion stack for tower of Hanoi for number of discs=3.,understand
Explain different cases of overflow condition for Circular Queue. Also mention the condition to display the queue contents for every case.,understand
Consider the structure to store the details of students who have registered for the Codechef contest. Details are arranged in ascending order (not necessarily contiguous) by roll numbers. Mention the efficient approach to change the last name of a student with any given roll number. Show the steps with any example.,apply
Compare Bubble sort and Selection sort for the following example with respect to number of passes and complexity.,understand
"Consider the doubly linked list with data 34,78,65,67,39. 1. Write the steps to insert node with data 100 at end. 2. Write the steps to delete a node with data 67.",create
"Consider the two sorted list T1: 5,8,11 and T2: 4,6,9,15,20,28. Write steps to merge the T1 and T2 in ascending order.",create
"Write steps to replace recursion with a stack, to find the factorial of number 6.",create
What is the maximum number of edges in an acyclic undirected graph with n vertices?,remember
What is the maximum height of any AVL-tree with 12 nodes?,remember
A simple Graph has 24 edges and degree of each vertex is 4. Find the number of vertices.,remember
Match the following:,remember
Justify that hashing is an efficient searching method compared to Linear search and Binary search.,evaluate
"The keys 22, 38, 33, 12, 3, 43, 15 and 85 are inserted into an initially empty hash table of length 10 using open addressing with hash function h(k) = k mod 10 and linear probing. What is the resultant hash table and number of collisions?",remember
Show the adjacency matrix representation of the following graph. Find the in degree and out degree of every node from adjacency matrix.,apply
apply Depth First traversal on following graph. Mention the sequence of each visited node using stack. Assume that Starting vertex is A and visit the vertices in alphabetical order.,apply
Define the following terminologies:,remember
"Preorder traversals of a binary search tree is given below: 45,11,23,41,39,85,77,68,96. Construct a binary search tree and write down the postorder traversal.",apply
"What is the advantage of AVL tree over BST? Insert the following keys in an empty AVL tree. Balance the tree wherever required. 89,67,55,54,34,33,32,22,12",apply
Draw the recursion tree for preorder traversal of a following binary tree:,analyze
"Find the level order traversal of a complete binary tree. 6,3,5,4,18,11,12,16,10,9 . apply the heap sort to arrange the numbers in ascending order.",apply
Binary Tree with Threads are called as ___________,remember
Which of the following indicates pre-order traversal?,remember
"To represent hierarchical relationship between elements, which data structure is suitable?",remember
"For a given array of 6 elements [5, 4, 12, 23, 3, 45], how many times comparison is performed to search 23 using linear search algorithm?",apply
"To arrange n elements using selection sort, number of comparisons required ______",understand
Which data structure is used to implement BFS?,remember
"A ____________ is a binary tree in which every level, except possibly the last, is completely filled, and all nodes are as far left as possible.",remember
Define data structure. Explain different types of data structures with suitable example.,understand
"Construct the Binary Search Tree using following data. Show each steps. 32, 45, 12, 11, 13, 92, 78, 66, 17, 70,98, 108. Show its Preorder, Inorder and Postorder traversing sequences.",create
"Define the terms : full binary tree, path, isolated node, spanning tree, AVL tree",remember
"Sort the following data using Radix sort. Trace the algorithm. 103, 12, 150, 1405, 145, 1450, 130, 1045",apply
Define graph. Explain storage representation of a graph.,remember
"apply Bubble Sort on below data and find out the number of comparison and number of exchanges. 2,8,7,6,15,16,5,10,1",apply
"What is Minimum Heap Tree? Perform ascending order sorting for following data using Minimum Heap Tree. 15, 19, 10, 7, 17, 16",apply
Identify the data structure which allows deletions at both ends of the list but insertion at only one end.,understand
Which data structure allows deleting data elements from front and inserting at rear?,remember
An algorithm that calls itself directly or indirectly is known as,remember
"Inserting an item into the stack when stack is not full is called ____ operation and deletion of item form the stack, when stack is not empty is called ____operation.",remember
Which of the following data structure is linear data structure?,remember
evaluate given postfix expression using stack. Show all steps. 3 4 2 * +12 / -,evaluate
"Given a 2D array A(3:10, 10:20) stored in row major order with base address of 200 and data type is float. Find the address of element A(5,15).",apply
Differentiate: (1) array vs linked list (2) stack vs queue,understand
Explain circular queue with insert and delete operations. How does it differ from simple queue?,understand
Write recursive steps to solve Tower of Hanoi problem. Which data structure is used for Tower of Hanoi problem?,remember
Convert the below expression into its equivalent postfix expression using stack. a / b + d * e – a * c,understand
Explain different methods used for defining hash functions.,understand
Explain the insert at front and insert at end operation of singly linked list with diagram.,understand
What is linear and non-linear data structure? Explain with suitable example.,remember
Differentiate between array and linked list.,understand
Give any two applications of stack data structure.,remember
"Let A be a two –dimensional array declared as follows: A: array [1....10] [1....15] of integer. Assuming that each integer takes one memory locations the array is stored in row-major order and the first element of the array is stored at location 100, what is the address of the element A[2][3]?",apply
Explain an algorithm for inserting and removing an element from the simple queue.,apply
Differentiate linear search and binary search. Explain an algorithm with an example for searching an element in binary search.,understand
"Show circular queue contents with front and rear after each step with size=5. (a) Insert 10, 20, 30. (b) Delete (c) Insert 40, 50, 60, 70. Initially queue is empty.",analyze
"Sort the following data using Bubble sort. Trace the algorithm. 145,130,19, 85, 12,103,1045 10, 8, 78, 35",analyze
Conversion of Infix Expression to Postfix Expression: a + b ∗ ( c^(d– e) ∗ f)– g,understand
Explain Tower of Hanoi with N=3 where N is the number of disk.,apply
"Generate index for each data using hash function and arrange them into an array A [10]. Use linear probing to resolve collision. Data: 1104, 806, 1288, 697, 1087, 835, 533, 1407 Hash function H(x) = (x mod 23) + 2.",create
Write an algorithm for insertion of a node in singly linked list.,create
"State True of False with justification:
 (i) Inorder traversal of a binary search tree arranges data into ascending order. 
 (ii) Depth first search technique can only be used for undirected graph. 
 (iii) The indegree of a vertex is the number of edges leaving it.",evaluate
Give the correct matching for following pairs: (A)O(logn) (B) O(n) (C) O(nlogn) (D)O(n2) (P) Selection Sort (Q) Insertion Sort (R) Binary Search (S) Merge Sort,analyze
"Construct the Binary Search Tree using following data. Show each steps. 32, 45, 12, 11, 13, 92, 78, 66, 17, 70, 98, 108. Delete 92 and then 32 from the tree. Draw tree after each deletion.",create
Define input restricted queue and output restricted queue.,remember
"Trace the following numbers using radix sort. 9, 1106, 9099, 6, 7101, 990, 15, 99, 10, 909",analyze
Explain different types of file indexing methods stating their advantages and disadvantages.,understand
Write and explain an algorithm for Breath First Search (BFS) traversal for undirected graph with a suitable example.,create
Draw the adjacency matrix of the following graph and find A2 from it.,create
"create a max heap tree and sort the given values in ascending order using heap sort with details. 4, -12, 16, 32, 24, 57, -11, 69, 96",create
"Insert 45, 12, 25 and 39 into the following AVL Tree. Draw balanced tree after each insertion with balance factor and pivot node.",create
Explain merge sort with detailed algorithm.,understand
"Given is an array after the first partition of quicksort: 3, 0, 2, 4, 10, 8, 7, 6, 9. Which of the element could be the pivot?",analyze
How many steps are required to solve Tower of Hanoi problem with N discs?,remember
How many comparisons are required to find element 45 using Binary Search? 27 34 36 37 38 40 42 45 60,evaluate
"Given an array A[-3:4, 6:10], Find the address of A[0][7] if array elements are organized in Row-Major order. Base Address is 2100. Each element takes 2 bytes for storage.",evaluate
"Consider the following list of 10 numbers: 35, 65, 15, 45, 95, 75, 85, 55, 25,5. Perform the Bubble Sort on the list and show the data after each pass. What is the Number of Exchanges and comparisons?",evaluate
Convert the given arithmetic expression into postfix form using stack:  A+B*(C/D)-(E/F)+G,understand
What are the different types of Queues? Explain each with suitable example.,remember
"Sort the following numbers using Quick Sort algorithm: 4,9,6,12,34,1,90,45,23. Show the Steps.",apply
Define stable sorting algorithm. Is selection sort stable? Justify your answer with appropriate example,evaluate
What can be the condition to check for overflow and underflow in circular queue? Explain with example.,remember
Consider the given singly linked list in which nodes contain INFO and LINK fields.Write steps to insert the node with INFO 28 such that it preserves the ordering of the terms in increasing order of their INFO fields.,apply
The Given function tofront() takes a singly-linked list as input argument. Add the Conditions and Statements to move the last element to the front of the list and returns the modified list.,create
Write an algorithm to insert a node at beginning in circular linked list.,create
What can be the maximum number of nodes in binary tree with height 4?,remember
What is the chromatic number of a complete graph with n vertices?,remember
State True or False: Inorder Traversal of a Binary search tree gives data in descending order.,remember
"In a complete Binary Tree, every internal node has exactly 2 children. What are the number of leaves in such a tree with N internal nodes? Justify with any example.",understand
What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a single node is 0.,analyze
"A hash table of length 9 uses hash function h(k)= k mod 9, and linear probing for collision resolution. Insert the following values in given order into the hash table.  9,12,15,33,80,53,50,95",create
"Construct Binary search tree from the following numbers: 23, 56, 45, 32, 89,12, 9, 36, 90, 22, 8, 10, 87 Delete 56 and 12. Show BST after each deletion.",create
Find the minimum spanning tree of a given Graph using Kruskal’s algorithm.,create
Find the total weight of the minimum spanning tree using Prim’s algorithm. Start vertex is 1.,create
"Perform ascending order sorting for following data using Max Heap Tree. 2,7,26,25,19,17,1,90",apply
The Inorder and Postorder traversals of a binary tree are given below:  Inorder: G D H B E I A F J C Postorder: G H D I E B J F C A . Construct a binary tree and write down the preorder traversal of the binary tree.,create
Given the adjacency matrix of a directed graph. Find the DFS sequence. (Start vertex is 1),apply
Construct an AVL Tree from given instructions. Show balance factors with each step. 1. Insert 56 6. Insert 90 2. Insert 45 7. Delete 45 3. Insert 12 8. Insert 95 4. Insert 34 9. Insert 9 5. Insert 30,create
"Consider the array declaration Arr [1:5,6:7] of integer type. How many elements are there in array Arr?",evaluate
What is underflow condition in stack implementation?,remember
State true or false: Worst case complexity of Insertion sort is O(n).,understand
Differentiate array and Linked list.,analyze
What are the advantages and disadvantages of circular queue over simple queue?,analyze
"Consider the following postfix expression: A B - C + D E F - + ^ . Assume that A=3, B=2, C=1, D=1, E=2, F=3 evaluate the expression and answer the following:
(i) What are the content of stack after second - operator is evaluated?
(ii) What is the final answer?",evaluate
"Perform following operations on circular queue of size 5. Write the values of front and rear after each operation. (i) Insert 12,14,15,49,70 (ii) Delete two elements (iii) Insert 56,78,80 (iv) Delete one element",apply
"Consider the following node structure:
struct node
{
int data;
struct node *link;
}*Head;
Head pointer variable contains the address of the first node the circular linked list. Write steps to insert new node at the front of the circular linked list.",apply
"Consider the given list: 13,44,45,67,89,90. What are the number of comparisons to find 90 using Linear search and Binary search?",evaluate
Write steps to perform following on singly linked list: (i) Insert new node at front of the linked list (ii) Insert new node at the end of the linked list,apply
"What is the arrangement of following data after five passes of Bubble Sort? 34,67,32,12,78,90,65,78,89",analyze
"Sort the following numbers in ascending order using Quick Sort : 6,9,4,3,2,1,7,8",analyze
Write down the steps to implement push and pop operations of stack using linked list.,create
State True or False: Inorder Traversal of a Binary search tree gives data in descending order.,understand
What is the minimum number of nodes of height 3 of an AVL tree?,remember
Which data structure is used in DFS technique?,remember
What are the applications of tree and graph?,remember
Draw all possible binary search trees from any three distinct integer values.,create
Consider the following traversals of binary tree: Preorder Traversal: a b c d f g e Inorder Traversal: c b f d g a e . Draw the tree and find the Postorder traversal,create
"Given is the level order traversal of binary tree: 6,8,9,4,3,90,23,12,78,66,34,33 Draw the tree and convert it into Max-heap.",create
What is Graph? Explain different ways of Graph representation.,understand
Give the difference between: (i) Tree and Graph (ii) Complete Binary tree and Perfect binary tree,understand
What is meant by collision resolution technique in Hashing? Explain any one technique with example.,understand
Comment whether the graph is connected or not using the BFS technique.(Start vertex is 0),analyze
"What is an AVL tree? Perform following operations on an AVL tree: (i) Insert 23,16,56,67,60,10,9,7,6 (ii) Delete 10,67",apply
"Insert the given numbers in binary search tree: 1,2,3,4,5,6,7,8,9 and mention the disadvantage of binary search tree.",apply
State True/False with reason: Deterministic Finite Automata can have more than one accepting state.,remember
"Consider the Finite Automata M given below & state T/F for the following statements with reasons: a. M accepts a Null String 
 b. M accepts all strings over {a, b} 
 c. M is a deterministic FA 
 d. M is an NFA",evaluate
Define: Equivalence Relation,remember
What are the differences between Moore Machine & Mealy Machine?,remember
Convert the following regular expression to deterministic finite automata.,understand
Use mathematical induction to prove that 1 + 2 + 3 + ... + n = n (n + 1) / 2 for all positive integers n.,analyze
State and prove Kleene’s theorem – part I,remember
Show and explain in detail the procedure to convert NFA -^ to NFA with example,analyze
State the pumping lemma for regular language. Prove that {0n 1 n | n>=0} is not a regular language.,remember
Write and explain an algorithm to minimize the given DFA in detail with an appropriate example.,create
"What is a proof? Prove by Contradiction: For any set A, B and C, if A∩B=Æ and C is a subset of B then A∩C=Æ",remember
"An NFA with states 1-5 and input alphabet {a, b} has the following transition table. Q δ (q, a) δ (q, b) 1 {1, 2} {1} 2 {3} {3} 3 {4} {4} 4 {5} Æ 5 Æ {5} Find: a. Draw Transition Diagram b. Calculate δ* (1, ab)",analyze
Obtain a Deterministic Finite Automata to accept strings of a’s and b’s having even number of a’s and b’s.,create
Compare Turing Machine with FA and PDA.,evaluate
“Non-Determinism adds power to a NFA”. Justify the correctness or falsehood of the statement.,create
Remove useless symbol from the given CFG: S àAB|a A àBC|b B àaB|C C àaC|B,analyze
Give applications of finite automata.,apply
"Find a regular expression for the set of all strings over {a, b}. i) The language of all strings containing at least two a’s ii) The language of all strings containing at most two b’s",apply
"Find a regular expression for the set of all strings over {a, b}. i) The language of all strings containing at least two a’s ii) The language of all strings containing at most two b’s",apply
When a grammar is said to be an ambiguous grammar? Check whether the grammar G with production rules X → X+X | X*X |X| a is ambiguous or not.,analyze
"Define: “Context Free Grammar”. What languages are generated by Context Free Grammar whose production rules are given below: S à aSa , S àbSb , S àaa , S àbb",remember
"Define: Turing Machine. Mention Input device, Output device and Storage device in Turing Machine. Also design a Turing Machine to accept language a+ .",create
Show using pumping lemma that the given language is not a CFL. L={an b n c n | n>=1},apply
"Write down a CFG generating the given language. (1) The set of odd-length strings in {a, b}* with middle symbol a (2) The set of even-length strings in {a, b}* with two middle symbols equal",create
Convert the following context free grammar into the Chomsky normal form. SàaXbX XàaY | bY |^ YàX|c,understand
The string 0100 belong to the set represented by a. 110* (0+1) b.1(0+1)* 101 c. (10)* (01)* (00+11)* d.(00+(11)* 0)*,analyze
"Prove by contradiction that for any set A, B and C if AՈB=Փ and C is a subset of B then AՈC= Փ.",analyze
Give regular expressions for the language: {an | n is divisible by 2 or 3 or 5},create
Design a DFA (Deterministic Finite Automata) equivalent to the following regular expression. 10 + (0 + 11) 0* 1,create
Write down major differences between Moore Machine & Mealy Machine with examples.,create
State and prove Kleene’s theorem – part I.,remember
"Using principle of mathematical induction, prove that for every n>=1, 7 + 13 + 19+. . . . . . . . . . . +(6 + 1) = (3 + 4)",analyze
Convert the following NFA-Ù to NFA.,understand
"Suppose L1 and L2 are subsets of {0, 1}* can be defined as follows. L1= {x | 00 is not a substring of x} & L2={x | x ends with 01}. Find L1 – L2",analyze
Define the following terms with examples: 1. Properties of Equivalence Relation 2. Distinguishable strings with respect to L,remember
"What are advantages of minimizing Finite Automata? Construct a minimal state automaton equivalent to a following given automaton, whose transition table is given below. State q4 is an accepting state. States Input a b q0 q1 q3 q1 q2 q4 q2 q1 q4 q3 q2 q4 q4* q4 q4",create
"Write down recursive definitions for the following. 1. Set S of all integer(positive and negative) divisible by 7 2. Palindrome language over {a, b}",create
"A transition table is given for NFA-^ with seven states. Calculate δ* (1, ba).",analyze
"Write down definition of ""Deterministic Finite Automata"". Consider the Finite Automata M given below & state T/F for the following statements with reasons: a. M accepts a Null String b. M accepts all strings over {a, b} c. M is a deterministic FA d. M is an NFA",create
"Using the subset construction, draw an FA accepting the same language as the following NFA. Label the final picture so as to make it clear how it was obtained from the subset construction.",create
Differentiate Decidable Problems and Undecidable Problems.,analyze
“Non-Determinism adds power to a PDA”. Justify the correctness or falsehood of the statement.,create
State and Prove De Morgan's laws.,remember
State true or false with justification: TM is more powerful than FA & PDA.,remember
Remove useless symbol from the given CFG: S àAB|a A àBC|b B àaB|C C àaC|B,analyze
"Write down pumping lemma for ""regular languages"". Also prove that {a n!: n>=0} is not regular.",create
"Construct PDA for accepting the language: L = { XcY | X,Y Î {a, b}* and |X| = |Y| }",create
"Design a Turing Machine accepting language of even length palindrome over {0, 1}.",create
"When a grammar is said to be an ambiguous grammar? Show that the grammar SàaB|ab, AàaAB|a, BàABb|b is ambiguous.",apply
"Define: “Context Free Grammar”. What languages are generated by Context Free Grammar whose production rules are given below: 1. S à aSb , S à ab 2. S à aSa , S àbSb , S àaa , S àbb",remember
"What are the input device, output device and storage device in Turing Machine? Using unary representation design a Turing Machine for: f(x) = x mod 3",create
Show using pumping lemma that the given language is not a CFL. L={ai b i c i | i>=1},apply
"Write down CFG for the given languages below: (1) L= The set of odd-length strings in {a, b}* with middle symbol a (2) L={ai b j c k | j=i+k}",create
Convert the following Context Free Grammar to CNF(Chomsky Normal Form): SàAACD AàaAb|^ CàaC|a DàaDa|bDb|^,understand
Design deterministic pushdown automata accepting “Balanced Strings of Brackets” which are accepted by the following CFG. S à SS | [S] |{S} | ^,create
2 A ∩ 2B = 2A∩B A. True B. False C. Not Always D. can’t say,analyze
Define the followings: 1. Strong Principle of Mathematical Induction 2. Distinguishable Strings with Respect to L,remember
Define: DFA. Draw Deterministic Finite Automata for the following language: 0+10* +01* 0,create
"The Fibonacci function is defined using the definition as: f0=0; f1=1; for n>=2, fn = fn-1+fn-2, Suppose C is a positive real number satisfying C > 8/13. Prove that for every n>=0, fn < C(13/8)n .",analyze
"State Kleen’s Theorem. Also, Draw NFA-^ for (00+1)* (10)* applying Kleen’s theorem.",remember
"Define: Nondeterministic Finite Automata. An NFA - ^ with states 1-7 has the following transition table. q δ (q, a) δ (q, b) δ (q, ∧) 1 ∅ ∅ {2} 2 {3} ∅ {5} 3 ∅ {4} ∅ 4 {4} ∅ {1} 5 ∅ {6, 7} ∅ 6 {5} ∅ ∅ 7 ∅ ∅ {1} Find: a. ∧({3,4}) b. δ * (1, ababa)",analyze
Convert the following NFA-∧ to DFA.,understand
"Suppose L1 and L2 are subsets of {0, 1}* . L1= {x | 00 is not a substring of x} L2={x | x ends with 01} Find L1- L2.",analyze
"Consider the Finite Automata M given below & state True or False for the following statements : a. M accepts a Null String b. M accepts all strings over {a, b} c. M is a deterministic FA d. M is an NFA e. Some string over {a, b} may not be accepted by M f. M does not accept a null string",evaluate
State whether the following grammars are ambiguous or not. Justify your answer. 1. S  aSbS | bSaS | ^ 2. S  a | Sa | bSS | SSb | SbS,create
Convert the following Context Free Grammar to Chomsky Normal Form: SAACD A aAb | ^ CaC | a D aDa | bDb | ^,understand
Using unary representation design a TM for f(x)=x mod 3,create
Show using pumping lemma that the given language is not a CFL. L={ai b i c i |i>=1},apply
Minimization of following Deterministic Finite Automata having starting state 1 and final states are state 3 & 6.,remember
"Define: CFG. In each of the following case, find a CFG generating the given language 1. The set of odd-length strings in {a, b}* with middle symbol a 2. The set of even-length strings in {a, b}* with two middle symbols equal 3. The set of odd-length strings in {a, b}* whose first, middle and last symbols are same.",create
"Construct PDA for accepting the language: L = { xcy | x,y ∈ {a, b}* and |x| = |y| }",create
"Define: Turing Machine. Mention I/P device, O/P device and Storage device in Turing Machine. Also throw light on how it is most powerful machine as compare to DFA, NFA and PDA.",evaluate
"Answer the followings questions: 1. Prove by Contradiction: For any set A, B and C, if A∩B=∅ and C is a subset of B then A∩C=∅. 2. The Principle of Mathematical Induction",analyze
"Find DFA that recognizes set of all strings on ∑ ={a, b}, starting with prefix ab.",apply
